ID,Address,Latitude,Longitude,IsAStudio,Beds,Baths,Size,LotSize,LotSizeUnit,BuiltInYear,DateOfSale,SalePrice
15148902,"456 Kansas St, San Francisco, CA",37764050,-122403778,False,6.0,2.0,2546.0,2500.0,sqft,1900.0,12/22/15,1.75
15149005,"251-253 Missouri St, San Francisco, CA",37763202,-122396270,False,7.0,6.0,2904.0,2482.0,sqft,1900.0,12/23/15,1e-06
15149093,"548 Rhode Island St, San Francisco, CA",37762814,-122402695,False,2.0,1.0,1025.0,2495.0,sqft,1938.0,12/10/15,1.77
15149454,"362-364 Connecticut St, San Francisco, CA",37761690,-122397727,False,4.0,3.5,1725.0,2495.0,sqft,1907.0,11/25/15,1.8
15149547,"361 Texas St, San Francisco, CA",37761845,-122395171,False,3.0,2.0,2080.0,2495.0,sqft,1906.0,2/10/16,2.3
15149594,"730-732 Tennessee St, San Francisco, CA",37762502,-122389995,False,,2.0,2270.0,2495.0,sqft,1900.0,12/22/15,2.9
15149654,"1324 20th St, San Francisco, CA",37760291,-122394893,False,2.0,1.0,1000.0,1646.0,sqft,1925.0,12/11/15,1.32
15149977,"734 Vermont St, San Francisco, CA",37759734,-122404338,False,,2.0,2360.0,2495.0,sqft,1907.0,12/16/15,0.2325
15150032,"725 Hampshire St, San Francisco, CA",37759765,-122407671,False,2.0,1.0,1740.0,2500.0,sqft,1900.0,12/4/15,1.57
15150214,"2724 21st St, San Francisco, CA",37757795,-122409332,False,2.0,1.0,1250.0,1698.0,sqft,1900.0,12/3/15,0.55
15150325,"900-904 Kansas St, San Francisco, CA",37758283,-122403228,False,,3.0,2795.0,2700.0,sqft,1913.0,12/11/15,1.58
15150465,"825 Rhode Island St, San Francisco, CA",37759320,-122401735,False,4.0,3.5,2882.0,2495.0,sqft,1910.0,11/25/15,1.75
15150570,"817 Carolina St, San Francisco, CA",37758273,-122399694,False,3.0,1.0,1644.0,2495.0,sqft,1907.0,12/4/15,1.27
15150777,"540 Texas St, San Francisco, CA",37759462,-122395570,False,2.0,4.0,1700.0,2700.0,sqft,1926.0,12/17/15,2.16
15150841,"632 Mississippi St, San Francisco, CA",37758382,-122394495,False,2.0,1.0,1100.0,2495.0,sqft,1922.0,1/4/16,1.42
15151012,"961 San Bruno Ave, San Francisco, CA",37757433,-122404508,False,2.0,2.0,1297.0,1920.0,sqft,1927.0,12/31/15,0.98
15151054,"948 Hampshire St, San Francisco, CA",37756888,-122407955,True,,1.0,1215.0,2495.0,sqft,1900.0,12/4/15,3.8
15151294,"2874 23rd St, San Francisco, CA",37754595,-122409835,False,,1.0,1167.0,2596.0,sqft,1900.0,11/17/15,0.5625
15151407,"1052 Rhode Island St, San Francisco, CA",37756432,-122402082,False,,1.0,1080.0,2495.0,sqft,1927.0,11/18/15,0.85
15151414,"1088 Rhode Island St, San Francisco, CA",37755952,-122402036,False,3.0,3.0,1550.0,2500.0,sqft,1912.0,12/17/15,1.8
15151520,"1015 Rhode Island St, San Francisco, CA",37756469,-122401462,False,4.0,4.0,2381.0,2613.0,sqft,1938.0,11/30/15,2.0
15151740,"1129 Tennessee St, San Francisco, CA",37757301,-122388882,False,2.0,2.0,3479.0,2500.0,sqft,1989.0,11/24/15,0.64
15151938,"1248 Utah St, San Francisco, CA",37753647,-122405683,False,4.0,4.0,2770.0,2247.0,sqft,1915.0,12/15/15,2.5
15152040,"2250 24th St APT 223, San Francisco, CA",37753905,-122402020,False,2.0,1.0,839.0,,,1989.0,11/17/15,0.64
15152257,"2107-2109 24TH St, San Francisco, CA",37753108,-122400748,False,,2.0,1500.0,2500.0,sqft,1908.0,12/21/15,1.21
